Original,Furigana,Indonesia,JLPT Level
指す,さす,"menunjuk,",N3
挿す,さす,"memasukkan, memasukkan, mencangkok",N3
注す,さす,"menuangkan (minuman), menyajikan (minuman)",N3
射す,さす,"bersinar, menyerang",N3
座席,ざせき,kursi,N3
誘う,さそう,"mengundang (seseorang untuk melakukan sesuatu dengan Anda); menggoda, memikat",N3
札,さつ,"uang kertas, uang kertas",N3
作家,さっか,"pengarang, penulis, novelis",N3
作曲,さっきょく,komposisi (musik),N3
ざっと,ざっと,"kira-kira, dalam angka bulat",N3
さっぱり,さっぱり,"merasa segar, rapi",N3
さて,さて,"baik; sekarang (biasanya digunakan saat beralih ke topik baru, biasanya lebih penting)",N3
砂漠,さばく,gurun,N3
差別,さべつ,"diskriminasi, diferensiasi",N3
ママ,ママ,Mama,N3
豆,まめ,"kacang-kacangan, kacang polong",N3
守る,まもる,melindungi; mematuhi (aturan),N3
迷う,まよう,"bingung, bingung, tersesat",N3
丸,まる,"lingkaran, penuh (bulan)",N3
円,まる,lingkaran,N3
まるで,まるで,persis seperti,N3
万一,まんいち,"secara kebetulan, jika secara kebetulan",N3
満足,まんぞく,kepuasan,N3
身,み,"tubuh, bagian utama",N3
実,み,"buah, biji, hasil yang baik",N3
見送り,みおくり,mengantar,N3
味方,みかた,"sekutu, pendukung",N3
見事,みごと,"hebat, megah",N3
ミス,ミス,"kesalahan (kesalahan, kekeliruan, kegagalan), Nona",N3
満ちる,みちる,"penuh, matang",N3
密,みつ,"tebal, dekat",N3
認める,みとめる,"mengenali, memperhatikan; menyetujui",N3
見舞い,みまい,"ungkapan simpati, ungkapan keprihatinan",N3
土産,みやげ,oleh-oleh,N3
都,みやこ,kota; ibu kota,N3
妙,みょう,"aneh, tidak biasa",N3
明後日,みょうごにち,lusa,N3
未来,みらい,masa depan (waktu hidup),N3
魅力,みりょく,"pesona, daya tarik, daya pikat",N3
診る,みる,memeriksa (pasien),N3
ミルク,ミルク,susu,N3
無,む,"tidak ada, nol, nol",N3
向かい,むかい,"menghadap, berlawanan, di seberang",N3
迎え,むかえ,"pertemuan, orang yang dikirim untuk menjemput kedatangan",N3
向く,むく,menghadap,N3
剥く,むく,"mengupas, menguliti",N3
向ける,むける,"berbalik ke arah, menunjuk",N3
無視,むし,"mengabaikan, mengabaikan",N3
蒸し暑い,むしあつい,"lembab, gerah",N3
虫歯,むしば,"lubang, kerusakan gigi",N3
寧ろ,むしろ,"lebih baik, lebih baik, malah",N3
蒸す,むす,"mengukus, memanaskan, menjadi gerah",N3
結ぶ,むすぶ,"mengikat, mengikat, menghubungkan",N3
無駄,むだ,"kesia-siaan, ketidakbergunaan",N3
夢中,むちゅう,"naksir, gila, ketagihan",N3
胸,むね,"dada, dada",N3
無料,むりょう,"gratis, tanpa biaya",N3
芽,め,tunas,N3
明確,めいかく,"jelas, pasti",N3
名刺,めいし,kartu (nama); kartu nama,N3
名詞,めいし,kata benda,N3
命じる,めいじる,"memerintahkan, memerintahkan, menunjuk",N3
名人,めいじん,"ahli, pakar",N3
命令,めいれい,"perintah, perintah, dekrit",N3
迷惑,めいわく,"masalah, gangguan, gangguan",N3
目上,めうえ,orang dengan status lebih tinggi; senior seseorang,N3
飯,めし,"makanan, makanan",N3
滅多に,めったに,"jarang (dengan kata kerja neg.), jarang",N3
メモ,メモ,"memorandum, catatan",N3
面,めん,"wajah, cangkir, permukaan, sisi atau segi, sudut, halaman",N3
綿,めん,kapas,N3
免許,めんきょ,"lisensi, izin, sertifikat",N3
面接,めんせつ,wawancara,N3
面倒,めんどう,"masalah, perhatian",N3
メンバー,メンバー,anggota,N3
申し込む,もうしこむ,"melamar, mengajukan permohonan",N3
申し訳,もうしわけ,"permintaan maaf, alasan",N3
毛布,もうふ,selimut,N3
燃える,もえる,terbakar,N3
目的,もくてき,"tujuan, sasaran, tujuan",N3
目標,もくひょう,"tanda, tujuan, target",N3
文字,もじ,"huruf (alfabet), karakter",N3
文字,もんじ,"huruf (alfabet), karakter",N3
もしかすると,もしかすると,"mungkin, barangkali, secara kebetulan",N3
もしも,もしも,jika,N3
持ち上げる,もちあげる,"mengangkat, mengangkat, memuji",N3
用いる,もちいる,"menggunakan, memanfaatkan",N3
もったいない,もったいない,"boros; lebih dari yang pantas didapatkan, tidak layak",N3
尤も,もっとも,"cukup benar, masuk akal, alami",N3
元,もと,"asal, asli; mantan",N3
基,もと,dasar,N3
素,もと,prima,N3
戻す,もどす,"mengembalikan, meletakkan kembali, mengembalikan",N3
基づく,もとづく,"didasarkan pada, didasarkan pada",N3
求める,もとめる,"meminta, meminta; mencari, mencari",N3
者,もの,orang (sama dengan 人 (ひと)),N3
物音,ものおと,suara,N3
物語,ものがたり,"kisah, cerita, legenda",N3
物事,ものごと,"hal-hal, segalanya",N3
燃やす,もやす,membakar,N3
模様,もよう,"pola, gambar, desain",N3
文句,もんく,keluhan,N3
やがて,やがて,"tidak lama lagi, segera, akhirnya",N3
役,やく,"peran, posisi",N3
約,やく,"kira-kira, sekitar, beberapa",N3
訳,やく,terjemahan,N3
訳す,やくす,menerjemahkan,N3
役割,やくわり,"pembagian (pembagian) bagian, peran, tugas",N3
家賃,やちん,sewa,N3
厄介,やっかい,"masalah, beban, perawatan",N3
宿,やど,"penginapan, penginapan",N3
雇う,やとう,"mempekerjakan, menyewa",N3
屋根,やね,atap,N3
破る,やぶる,merobek; melanggar; mengalahkan,N3
破れる,やぶれる,"robek, aus",N3
辞める,やめる,pensiun,N3
やや,やや,"sedikit, sebagian, agak",N3
唯一,ゆいいつ,"satu-satunya, tunggal, unik",N3
勇気,ゆうき,"keberanian, keberanian, keberanian",N3
友好,ゆうこう,persahabatan,N3
有効,ゆうこう,"sah, manjur",N3
優秀,ゆうしゅう,"keunggulan, keunggulan",N3
優勝,ゆうしょう,"kemenangan keseluruhan, kejuaraan",N3
友情,ゆうじょう,"persahabatan, persekutuan",N3
友人,ゆうじん,teman (formal),N3
有能,ゆうのう,"mampu, cakap, efisien",N3
郵便,ゆうびん,"surat, layanan pos",N3
ユーモア,ユーモア,humor,N3
有利,ゆうり,"menguntungkan, lebih baik",N3
床,ゆか,lantai,N3
愉快,ゆかい,"menyenangkan, bahagia",N3
譲る,ゆずる,"menyerahkan, menugaskan, menyerahkan",N3
豊か,ゆたか,"berlimpah, kaya, berlimpah, kaya",N3
茹でる,ゆでる,merebus,N3
許す,ゆるす,"mengizinkan, mengizinkan, menyetujui",N3
夜,よ,"petang, malam",N3
夜明け,よあけ,"fajar, subuh",N3
酔う,よう,mabuk,N3
容易,ようい,"mudah, sederhana, polos",N3
容器,ようき,"wadah, bejana",N3
陽気,ようき,"musim, cuaca, keceriaan",N3
要求,ようきゅう,"permintaan, tuntutan",N3
用心,ようじん,"hati-hati, waspada, hati-hati",N3
様子,ようす,"aspek, keadaan, penampilan",N3
要するに,ようするに,"singkatnya, bagaimanapun juga, singkatnya …",N3
要素,ようそ,elemen,N3
要点,ようてん,"intisari, poin utama",N3
曜日,ようび,hari dalam seminggu,N3
ヨーロッパ,ヨーロッパ,Eropa,N3
予期,よき,"harapan, ramalan",N3
横切る,よこぎる,"menyeberang (misalnya lengan), melintasi",N3
汚す,よごす,"mencemari, mengotori",N3
予算,よさん,"perkiraan, anggaran",N3
止す,よす,"berhenti, menyerah",N3
寄せる,よせる,"mengumpulkan, mengumpulkan, menyisihkan",N3
予測,よそく,"prediksi, estimasi",N3
ヨット,ヨット,yacht,N3
夜中,よなか,"tengah malam, larut malam",N3
世の中,よのなか,"masyarakat, dunia",N3
余分,よぶん,"ekstra, kelebihan, surplus",N3
予報,よほう,"ramalan, prediksi",N3
予防,よぼう,"pencegahan, perlindungan terhadap",N3
読み,よみ,membaca,N3
嫁,よめ,"pengantin wanita, menantu perempuan",N3
余裕,よゆう,kelebihan; surplus,N3
より,より,"puntiran, lapis",N3
因る,よる,berasal dari,N3
喜び,よろこび,"kegembiraan, kesenangan, sukacita",N3
よろしく (かん),よろしく (かん),"salam hormat, tolong ingat saya",N3
四,よん,empat,N3
来,らい～,berikutnya ~,N3
ライター,ライター,korek api; penulis,N3
楽,らく,"kenyamanan, kemudahan",N3
ラケット,ラケット,raket,N3
利益,りえき,"keuntungan, keuntungan",N3
理解,りかい,"pemahaman, pengertian",N3
陸,りく,"darat, pantai",N3
利口,りこう,"pintar, cerdas, cerdas",N3
離婚,りこん,perceraian,N3
理想,りそう,ideal,N3
率,りつ,"tingkat, rasio, persentase",N3
留学,りゅうがく,belajar di luar negeri,N3
流行,りゅうこう,"modis, mode, berlaku",N3
量,りょう,"kuantitas, jumlah",N3
寮,りょう,"asrama, asrama",N3
両替,りょうがえ,"penukaran, penukaran uang",N3
料金,りょうきん,"biaya, ongkos, tarif",N3
例,れい,"contoh, contoh, kasus",N3
礼,れい,ungkapan terima kasih; membungkuk,N3
例外,れいがい,pengecualian,N3
礼儀,れいぎ,"sopan santun, kesopanan, etiket",N3
冷静,れいせい,"tenang, dingin",N3
列,れつ,"antrian, baris, baris",N3
列車,れっしゃ,kereta (biasa),N3
レベル,レベル,level,N3
連想,れんそう,"asosiasi (ide), saran",N3
連続,れんぞく,"berturut-turut, kontinuitas, berlanjut",N3
老人,ろうじん,"orang tua, orang tua",N3
労働,ろうどう,"tenaga kerja, pekerjaan",N3
ロケット,ロケット,"liontin, roket",N3
論じる,ろんじる,"berdebat, berdiskusi",N3
論争,ろんそう,"kontroversi, perselisihan",N3
論文,ろんぶん,"tesis, makalah",N3
輪,わ,"cincin, lingkaran, lingkaran",N3
ワイン,ワイン,anggur,N3
わがまま,わがまま,"keegoisan, egoisme, kehendak sendiri",N3
別れ,わかれ,"perpisahan, perpisahan, selamat tinggal",N3
分かれる,わかれる,"bercabang, bercabang, menyimpang untuk memisahkan, membelah, membagi untuk menyebar, menyebar",N3
脇,わき,samping,N3
湧く,わく,"mendidih, menjadi panas",N3
分ける,わける,"membagi, memisahkan",N3
わざと,わざと,sengaja,N3
僅か,わずか,"hanya, hanya, sedikit",N3
綿,わた,kapas,N3
話題,わだい,"topik, subjek",N3
笑い,わらい,"tertawa, tawa, senyum",N3
割る,わる,"membagi, memecahkan",N3
悪口,わるくち,"makian, hinaan",N3
我々,われわれ,kami,N3
湾,わん,"teluk, teluk, teluk kecil",N3
椀,わん,mangkuk,N3
碗,わん,mangkuk,N3
悪,あく,"jahat, keburukan",N3
当り,あたり,"kena, sukses, mencapai sasaran",N3
アップ,アップ,naik,N3
宛てる,あてる,"mengalamatkan, menaruh",N3
アンケート,アンケート,"kuesioner (FRE: enquete), survei",N3
異,い,perbedaan (pendapat),N3
意,い,akan,N3
医院,いいん,"kantor dokter (bedah), klinik",N3
怒り,いかり,kemarahan,N3
粋,いき,"cantik, gaya, kemurnian",N3
意地,いじ,"watak, semangat, keras kepala, nafsu makan",N3
依然,いぜん,"masih, seperti biasa",N3
傷める,いためる,"merusak, merusak, merusak",N3
炒める,いためる,menumis,N3
一帯,いったい,"wilayah, seluruh tempat",N3
異動,いどう,"perubahan, transfer",N3
衣料,いりょう,pakaian,N3
渦,うず,pusaran,N3
埋まる,うまる,"terkubur, terisi",N3
産む,うむ,"melahirkan (transitif), melahirkan, menghasilkan",N3
縁,えん,"kesempatan, ikatan, hubungan",N3
尾,お,"ekor, punggungan",N3
負う,おう,"menanggung, berutang",N3
遅れ,おくれ,"keterlambatan, keterlambatan",N3
教え,おしえ,"ajaran, doktrin",N3
驚き,おどろき,"kejutan, keheranan, keajaiban",N3
織る,おる,menenun,N3
欠く,かく,"kurang, retak",N3
角,かく,sudut,N3
核,かく,"inti, kernel",N3
格,かく,"status, karakter, kasus",N3
学歴,がくれき,latar belakang akademis,N3
駆ける,かける,berlari,N3
賭ける,かける,"bertaruh, mempertaruhkan, berjudi",N3
課題,かだい,"subjek, tema, tugas",N3
片付け,かたづけ,"merapikan, menyelesaikan",N3
加味,かみ,"bumbu, penyedap rasa",N3
借り,かり,"pinjaman, utang, pinjaman",N3
狩り,かり,berburu,N3
管,かん,"pipa, tabung",N3
～観,かん,"perasaan, pandangan",N3
癌,がん,kanker,N3
刊行,かんこう,"publikasi, terbitan",N3
慣行,かんこう,"praktik adat, kebiasaan, acara tradisional",N3
歓声,かんせい,"sorak, sorak kegirangan",N3
官僚,かんりょう,"birokrat, birokrasi",N3
器官,きかん,"organ (tubuh, instrumen)",N3
季刊,きかん,"triwulanan (misalnya majalah)",N3
起源,きげん,"asal, awal, bangkit",N3
機構,きこう,"mekanisme, organisasi",N3
築く,きずく,"membangun, mendirikan",N3
規制,きせい,regulasi,N3
丘陵,きゅうりょう,bukit,N3
協議,きょうぎ,"konferensi, diskusi, negosiasi",N3
享受,きょうじゅ,"kenikmatan, diberi",N3
協調,きょうちょう,"kerja sama, konsiliasi, harmoni",N3
切り,きり,"batas, tempat untuk berhenti",N3
菌,きん,"kuman, bakteri",N3
近視,きんし,rabun jauh,N3
苦,く,"masalah, kekhawatiran, kesulitan",N3
群,ぐん,kelompok,N3
刑,けい,"hukuman, kalimat, hukuman",N3
経緯,けいい,"urutan peristiwa, jalannya",N3
計器,けいき,"meteran, alat ukur",N3
契機,けいき,"kesempatan, peluang",N3
携帯,けいたい,membawa sesuatu; telepon genggam,N3
形態,けいたい,"bentuk, bentuk, gambar",N3
血管,けっかん,pembuluh darah,N3
決行,けっこう,"melakukan (dengan tekad), melaksanakan (misalnya rencana)",N3
件,けん,"masalah, kasus, item",N3
減少,げんしょう,"penurunan, pengurangan, penurunan",N3
公演,こうえん,pertunjukan publik,N3
後悔,こうかい,"penyesalan, pertobatan",N3
航海,こうかい,"berlayar, pelayaran",N3
拘束,こうそく,"pembatasan, pengekangan",N3
荒廃,こうはい,kehancuran,N3
降伏,こうふく,"kapitulasi, menyerah, penyerahan",N3
興奮,こうふん,"kegembiraan, stimulasi",N3
語句,ごく,"kata, frasa",N3
個々,ここ,"individu, satu per satu",N3
故人,こじん,almarhum,N3
小銭,こぜに,"koin, uang receh",N3
ことによると,ことによると,(tergantung pada keadaan),N3
コンテスト,コンテスト,kontes,N3
採集,さいしゅう,"mengumpulkan, mengumpulkan",N3
作,さく,"karya, panen",N3
策,さく,"rencana, kebijakan",N3
設備,せつび,"peralatan, perangkat, fasilitas",N3
絶滅,ぜつめつ,"penghancuran, kepunahan",N3
節約,せつやく,"menghemat, menabung",N3
攻める,せめる,"menyerang, menyerang",N3
責める,せめる,"mengutuk, menyalahkan, mengkritik",N3
善,ぜん,"baik, kebajikan",N3
全,ぜん,"semua, seluruh, seluruh",N3
全員,ぜんいん,semua anggota,N3
専攻,せんこう,"jurusan, studi khusus",N3
全国,ぜんこく,"seluruh bangsa, seluruh negeri, seluruh negeri",N3
洗剤,せんざい,deterjen,N3
先日,せんじつ,"tempo hari, beberapa hari yang lalu",N3
前者,ぜんしゃ,yang pertama,N3
選手,せんしゅ,pemain yang dipilih untuk tim (biasanya atletik),N3
全身,ぜんしん,"seluruh tubuh, panjang penuh (potret)",N3
前進,ぜんしん,"maju, dorong, kemajuan",N3
センター,センター,pusat,N3
全体,ぜんたい,"seluruh, keseluruhan, apa pun (masalahnya)",N3
選択,せんたく,"seleksi, pilihan",N3
宣伝,せんでん,"iklan, publisitas",N3
象,ぞう,gajah,N3
騒音,そうおん,kebisingan,N3
増加,ぞうか,"peningkatan, penambahan",N3
操作,そうさ,"operasi, manajemen, pemrosesan",N3
想像,そうぞう,"imajinasi, tebakan",N3
相続,そうぞく,"suksesi, warisan",N3
装置,そうち,"peralatan, instalasi, aparatur",N3
相当,そうとう,"cukup, lumayan; sepadan ~",N3
速度,そくど,"kecepatan, kecepatan, laju",N3
底,そこ,"bawah, sol",N3
そこで,そこで,"jadi (konj.), karenanya",N3
組織,そしき,organisasi; struktur; jaringan,N3
そして,そして,dan kemudian,N3
注ぐ,そそぐ,menuangkan (ke dalam),N3
育つ,そだつ,"dibesarkan, tumbuh (dewasa)",N3
そっくり,そっくり,mirip sekali; seluruhnya,N3
そっと,そっと,"dengan lembut, dengan lembut",N3
袖,そで,lengan baju,N3
備える,そなえる,"mempersiapkan, melengkapi, menyimpan",N3
具える,そなえる,dilengkapi dengan,N3
そのうえ,そのうえ,"selain itu, selanjutnya",N3
そのうち,そのうち,"tidak lama lagi, akhirnya, cepat atau lambat",N3
そのまま,そのまま,"tanpa perubahan, apa adanya (misalnya sekarang)",N3
蕎麦,そば,soba (mie soba),N3
ソファー,ソファー,"sofa, sofa",N3
粗末,そまつ,"rendah hati, menyedihkan, kasar",N3
それぞれ,それぞれ,"masing-masing, setiap, masing-masing",N3
それでも,それでも,"tapi (tetap), namun, bagaimanapun",N3
それと,それと,dan,N3
それとも,それとも,"atau, atau yang lain",N3
揃う,そろう,"menjadi lengkap, menjadi sama",N3
揃える,そろえる,"merapikan, mengatur, mempersiapkan, bersiap-siap untuk membuat seragam, membuat rata, mencocokkan",N3
損,そん,"kerugian, kerugian",N3
損害,そんがい,"kerusakan, kerugian",N3
尊敬,そんけい,"hormat, hormat, kehormatan",N3
存在,そんざい,"keberadaan, keberadaan",N3
尊重,そんちょう,"hormat, penghargaan, perhatian",N3
田,た,sawah,N3
他,た,lain (terutama tempat dan benda),N3
対,たい,"pasangan, pasangan, set",N3
大,だい,"besar, hebat",N3
題,だい,"judul, subjek, tema",N3
体育,たいいく,"pendidikan jasmani, senam, atletik",N3
体温,たいおん,suhu (tubuh),N3
大会,たいかい,"konvensi, turnamen (besar), rapat akbar",N3
大気,たいき,atmosfer,N3
代金,だいきん,"harga, biaya",N3
退屈,たいくつ,"kebosanan, membosankan",N3
滞在,たいざい,"tinggal, menginap",N3
大使,たいし,duta besar,N3
大した,たいした,"signifikan, hebat, cukup besar",N3
体重,たいじゅう,berat (badan),N3
対象,たいしょう,"target; objek (pemujaan, studi, dll.); subjek (yaitu, perpajakan)",N3
対照,たいしょう,"kontras, antitesis, perbandingan",N3
大臣,だいじん,menteri kabinet,N3
対する,たいする,"menghadapi, menghadapi, menentang",N3
大戦,たいせん,"perang besar, pertempuran besar",N3
態度,たいど,"sikap, cara",N3
大統領,だいとうりょう,presiden,N3
大半,たいはん,"sebagian besar, mayoritas, sebagian besar",N3
代表,だいひょう,"perwakilan, delegasi",N3
大部分,だいぶぶん,"sebagian besar, mayoritas",N3
タイプライター,タイプライター,mesin tik,N3
逮捕,たいほ,"penangkapan, penangkapan, penangkapan",N3
題名,だいめい,judul,N3
ダイヤ,ダイヤ,jadwal (kereta api); berlian,N3
太陽,たいよう,matahari,N3
平ら,たいら,"datar, rata, halus",N3
代理,だいり,"perwakilan, kuasa, wakil",N3
大陸,たいりく,benua,N3
倒す,たおす,"menjatuhkan, mengalahkan",N3
タオル,タオル,handuk (tangan),N3
だが,だが,"tapi, namun",N3
互い,たがい,"saling, satu sama lain",N3
高める,たかめる,"menaikkan, mengangkat, meningkatkan",N3
宝,たから,harta karun,N3
宅,たく,"rumah, rumah",N3
炊く,たく,"merebus, memasak",N3
焚く,たく,"membakar, menyalakan, membuat api",N3
抱く,だく,"memeluk, memeluk",N3
だけど,だけど,namun,N3
たしか,たしか,"pasti, yakin, jika saya ingat dengan benar",N3
確かめる,たしかめる,"memastikan, meyakinkan",N3
多少,たしょう,sedikit (sama dengan 少し (すこし)),N3
助かる,たすかる,terselamatkan; (sesuatu) membantu (v.i.),N3
助ける,たすける,"membantu (v.t.), menyelamatkan, menolong",N3
ただ,ただ,gratis; hanya (~); cuma (~),N3
只,ただ,"gratis, semata, hanya",N3
唯,ただ,"semata, tunggal, polos",N3
戦い,たたかい,"pertempuran, pertarungan",N3
戦う,たたかう,"berkelahi, bersaing, bertempur",N3
叩く,たたく,"memukul, memukul",N3
直ちに,ただちに,"segera, langsung",N3
畳む,たたむ,melipat (pakaian),N3
立ち上がる,たちあがる,berdiri,N3
立場,たちば,"sudut pandang, posisi, situasi",N3
建つ,たつ,"berdiri; dibangun (v.i.), mendirikan, didirikan",N3
経つ,たつ,(waktu) berlalu,N3
達する,たっする,"mencapai, sampai ke",N3
唯,たった,"hanya, cuma",N3
だって,だって,"tapi, karena, bahkan",N3
たっぷり,たっぷり,"penuh, banyak, cukup",N3
たとえ,たとえ,"bahkan jika, tidak peduli, meskipun",N3
谷,たに,lembah,N3
他人,たにん,"orang lain, orang asing",N3
種,たね,benih; bahan; penyebab,N3
束,たば,"ikat, bundel",N3
足袋,たび,kaus kaki Jepang (dengan ujung terbelah),N3
度,たび,penghitung kejadian,N3
旅,たび,"perjalanan, perjalanan, perjalanan",N3
たびたび,たびたび,"sering, berulang kali, sering",N3
玉,たま,"bola, bola, koin",N3
球,たま,"bola dunia, bola, bola",N3
弾,たま,"peluru, tembakan",N3
偶,たま,"bilangan genap, pasangan, teman",N3
騙す,だます,"menipu, menipu, menipu",N3
偶々,たまたま,"tak terduga, kebetulan, secara kebetulan",N3
たまらない,たまらない,"tak tertahankan, tak tertahankan, tak tertahankan",N3
溜まる,たまる,"mengumpulkan, mengumpulkan, menumpuk",N3
黙る,だまる,diam,N3
試し,ためし,"percobaan, ujian",N3
試す,ためす,"mencoba, menguji",N3
溜める,ためる,"menumpuk, mengumpulkan",N3
便り,たより,"berita, korespondensi, surat",N3
頼る,たよる,"mengandalkan, meminta bantuan, bergantung pada",N3
段,だん,"langkah, tangga, tingkatan",N3
単位,たんい,"kredit (untuk mata kuliah di sekolah); unit, denominasi",N3
単語,たんご,kata; kosakata,N3
男子,だんし,pemuda,N3
単純,たんじゅん,kesederhanaan,N3
誕生,たんじょう,kelahiran,N3
ダンス,ダンス,tari,N3
団体,だんたい,"organisasi, asosiasi",N3
担当,たんとう,(bertanggung) jawab,N3
単なる,たんなる,"semata, sederhana, belaka",N3
単に,たんに,"hanya, semata",N3
地,ち,bumi,N3
地位,ちい,"posisi (sosial), status",N3
地域,ちいき,"area, wilayah",N3
チーズ,チーズ,keju,N3
チーム,チーム,tim,N3
知恵,ちえ,"kebijaksanaan, kecerdasan, kecerdasan",N3
地下,ちか,"basement, bawah tanah",N3
違い,ちがい,"perbedaan, ketidaksesuaian",N3
違いない,ちがいない,"(frasa) pasti, tidak salah lagi, pasti",N3
近頃,ちかごろ,"akhir-akhir ini, baru-baru ini, sekarang ini",N3
地球,ちきゅう,bumi,N3
地区,ちく,"distrik, bagian",N3
遅刻,ちこく,"keterlambatan, datang terlambat",N3
知事,ちじ,gubernur prefektur,N3
知識,ちしき,"pengetahuan, informasi",N3
父親,ちちおや,ayah,N3
知能,ちのう,"kecerdasan, otak",N3
地平線,ちへいせん,cakrawala,N3
地方,ちほう,"area, lokalitas, wilayah",N3
茶,ちゃ,teh,N3
チャンス,チャンス,"peluang, kesempatan",N3
ちゃんと,ちゃんと,"dengan sempurna, dengan benar, tepat",N3
中,ちゅう,"di dalam, tengah, di antara",N3
注,ちゅう,"anotasi, catatan penjelasan",N3
中央,ちゅうおう,"pusat, tengah, tengah",N3
中学,ちゅうがく,"sekolah menengah pertama, SMP",N3
中古,ちゅうこ,"bekas, bekas",N3
中止,ちゅうし,"penangguhan, penghentian, penghentian",N3
駐車,ちゅうしゃ,"parkir (misalnya mobil)",N3
昼食,ちゅうしょく,makan siang (sama dengan 昼ご飯 (ひるごはん)),N3
中心,ちゅうしん,"pusat, inti",N3
注目,ちゅうもく,"perhatian, perhatian, pengamatan",N3
注文,ちゅうもん,"pesanan, permintaan",N3
長期,ちょうき,jangka waktu lama,N3
調査,ちょうさ,survei; investigasi,N3
調子,ちょうし,"kondisi, keadaan, nada, nada",N3
頂上,ちょうじょう,"puncak, puncak, puncak",N3
ちょうだい,ちょうだい,-- bentuk sehari-hari dari ください; biasanya digunakan oleh anak-anak atau wanita --,N3
貯金,ちょきん,tabungan (bank),N3
直接,ちょくせつ,"langsung, langsung, langsung",N3
著者,ちょしゃ,"penulis, penulis",N3
散らす,ちらす,"menaburkan, menyebarkan, mendistribusikan",N3
散る,ちる,"jatuh, berserakan (misalnya bunga)",N3
遂に,ついに,"akhirnya, akhirnya",N3
通過,つうか,"melewati, melewati",N3
通貨,つうか,mata uang,N3
通学,つうがく,pulang pergi sekolah,N3
通勤,つうきん,pulang pergi kerja,N3
通行,つうこう,"melewati, melewati",N3
通じる,つうじる,"berjalan ke, mengarah ke, berkomunikasi",N3
通信,つうしん,"korespondensi, komunikasi",N3
通訳,つうやく,interpretasi; penerjemah,N3
捕まる,つかまる,ditangkap; tertangkap,N3
掴む,つかむ,"merebut, menangkap, menggenggam",N3
疲れ,つかれ,"kelelahan, kelelahan",N3
付き合い,つきあい,sosialisasi; persahabatan; asosiasi,N3
付合う,つきあう,"bergaul dengan, menemani, bergaul dengan",N3
次々,つぎつぎ,"berturut-turut, satu per satu",N3
付く,つく,"berdampingan, terpasang, melekat",N3
就く,つく,"menetap di (tempat), mengambil (posisi kursi), belajar (di bawah guru)",N3
突く,つく,"menusuk, memukul; menusuk",N3
次ぐ,つぐ,"berada di urutan berikutnya, datang setelah",N3
注ぐ,つぐ,menuangkan (ke dalam),N3
付ける,つける,"melampirkan, menggabungkan, menambahkan",N3
着ける,つける,"memakai, mengenakan; mendekat",N3
伝わる,つたわる,"diturunkan, ditransmisikan",N3
土,つち,"bumi, tanah",N3
続き,つづき,"sekuel, kelanjutan",N3
包み,つつみ,"bundel, paket",N3
勤め,つとめ,"pekerjaan, pekerjaan",N3
務め,つとめ,tugas,N3
繋がる,つながる,"terhubung ke, terkait dengan",N3
繋ぐ,つなぐ,"mengikat, mengencangkan, menghubungkan",N3
繋げる,つなげる,menghubungkan,N3
常に,つねに,selalu (sama dengan いつも) (ekspresi tertulis),N3
翼,つばさ,sayap,N3
つまり,つまり,yaitu; dengan kata lain; singkatnya,N3
罪,つみ,"kejahatan, kesalahan, kecerobohan",N3
積む,つむ,"menumpuk, menumpuk",N3
詰める,つめる,"mengemas, mempersingkat, menyelesaikan (detail)",N3
積もる,つもる,menumpuk,N3
梅雨,つゆ,musim hujan,N3
辛い,つらい,"menyakitkan, memilukan",N3
釣,つり,memancing,N3
連れ,つれ,"teman, rombongan",N3
出,で,"keluar, keluar (pergi), lulusan (dari)",N3
出会い,であい,"pertemuan, pertemuan, perjumpaan",N3
出合い,であい,perjumpaan,N3
出会う,であう,"bertemu secara kebetulan, menemukan, kebetulan bertemu",N3
提案,ていあん,"usulan, proposisi, saran",N3
定期,ていき,jangka waktu tetap,N3
抵抗,ていこう,"perlawanan, oposisi",N3
提出,ていしゅつ,"presentasi, pengajuan, pengarsipan",N3
停電,ていでん,pemadaman listrik,N3
程度,ていど,"derajat, jumlah, tingkat",N3
停留所,ていりゅうじょ,halte bus atau trem,N3
デート,デート,kencan (hanya dalam arti 'acara sosial'),N3
敵,てき,"musuh, saingan",N3
出来事,できごと,"kejadian, peristiwa",N3
適する,てきする,"cocok, sesuai",N3
適切,てきせつ,"tepat, memadai, relevansi",N3
適度,てきど,sedang,N3
適用,てきよう,menerapkan,N3
できれば,できれば,jika mungkin…,N3
手品,てじな,"trik sulap, sihir",N3
ですから,ですから,oleh karena itu,N3
鉄,てつ,besi,N3
哲学,てつがく,filsafat,N3
手伝い,てつだい,"bantuan, pembantu, asisten",N3
徹底,てってい,"kesempurnaan, kelengkapan",N3
鉄道,てつどう,kereta api; rel kereta api,N3
徹夜,てつや,"begadang semalaman, malam tanpa tidur",N3
手間,てま,"waktu, tenaga kerja",N3
デモ,デモ,"demo, demonstrasi",N3
典型,てんけい,"tipe, pola, arketipe",N3
天候,てんこう,cuaca,N3
電子,でんし,elektron; elektronik,N3
テント,テント,tenda,N3
伝統,でんとう,"tradisi, konvensi",N3
天然,てんねん,"alam, spontanitas",N3
問い,とい,"pertanyaan, pertanyaan",N3
党,とう,partai (politik),N3
塔,とう,"menara, pagoda",N3
答案,とうあん,"kertas ujian, naskah ujian",N3
